Prodct Name,Product Description,Gender,Price,Image link
Carter Carryall Bag,"Perfectly put-together, our minimalist Carter Carryall effortlessly takes you from work to weekend. Featuring three organized compartments, multifunction pockets and space for a 12” laptop, this polished pebble leather design is finished with a detachable crossbody strap and our C dangle charm. Big on space (and big on style, too).",Female,495,https://coach.scene7.com/is/image/Coach/ch805_b4bk_a0?$mobileProductV3$
Tabby Shoulder Bag 26 With Quilting,"A modern take on an archival 1970s Coach design, our structured Tabby shoulder bag is crafted of quilted plush, ultra-soft nappa leather. Finished with our tonal leather-covered Signature hardware for an iconic touch, the compact 26 features a long leather chain strap to wear crossbody or double up for a shorter, dressier look.",Female,550,https://coach.scene7.com/is/image/Coach/cp150_b4bk_a0?$mobileProductV3$
Jonie Bag,"Ahead of the curve, our Jonie is a rounded style that’s part crescent silhouette, part hobo and all attitude. The compact style is crafted of buttery soft glovetanned leather and finished with a secure zip-top closure detailed with our C hardware. Carry by hand and wear as a wristlet with the interlocking top handle for nights out or add the detachable leather crossbody strap for days on the go.",Female,250,https://coach.scene7.com/is/image/Coach/cr508_b4ha_a0?$mobileProductV3$
Slim Card Case In Signature Canvas,"Detailed with our Signature hardware, our sophisticated Slim Card Case 
is big on organization. Secured by a snap closure, the bifold design features
 multiple card slots, inside slip pockets for cash or receipts and a zip pocket 
for coins or small accessories. Crafted of our Signature canvas and 
refined leather, it’s finished with an exterior slip pocket for easy access items",Male,100,https://coach.scene7.com/is/image/Coach/c5870_b4nq4_a0?$mobileProductV3$
Billfold Wallet,"Crafted of polished pebble leather detailed with our 
Signature hardware, this compact billfold wallet features 
a convenient exterior zip pocket for coins, receipts, 
earbuds and other small essentials. It unsnaps to 
reveal eight card slots and a full-length bill compartment.",Male,120,https://coach.scene7.com/is/image/Coach/cd717_b4bk_a0?$mobileProductV3$
Double Billfold Wallet With Large Horse And Carriage Print,"Crafted of refined leather and sturdy coated canvas 
featuring our bold Large Horse and Carriage motif,
 this traditional billfold slips easily into back pockets.
 It's designed with eight credit card slots and two full-length
 bill compartments",Male,200,https://coach.scene7.com/is/image/Coach/cm385_w8f_a0?$mobileProductV3$
Wyn Small Wallet,"Crafted of scratch-resistant crossgrain leather, 
our Wyn wallet invites organization with an elegant 
envelope design. Detailed with our Signature hardware,
 the tri-fold style opens to reveal seven card slots 
and a full-length bill compartment",Male,125,https://coach.scene7.com/is/image/Coach/c2328_liblk_a0?$mobileProductV3$
Gotham Backpack In Signature Canvas,"A bag as distinct as its namesake city, the Gotham is a sleek,
 streamlined style that means business. Crafted of our Signature 
canvas and refined leather, this structured backpack has space for
 a 15"" laptop, interior multifunction pockets and two exterior zip 
pockets for easy organization. It’s finished with a breathable mesh 
back and adjustable shoulder straps",Male,450,https://coach.scene7.com/is/image/Coach/c5328_jio1u_a0?$mobileProductV3$
Gotham Portfolio In Signature Canvas,"A bag as distinct as its namesake city, the Gotham is a sleek, 
streamlined style that means business. Crafted of our Signature 
coated canvas and refined leather, this spacious portfolio has three
 organized compartments, room for a 15"" laptop, multifunction pockets, 
and an exterior slip pocket for easy access to essentials. Secured by a
 flap magnetic closure, it’s finished with a snap-top handle keeper and
 a detachable webbing strap for shoulder or crossbody wear.",Male,595,https://coach.scene7.com/is/image/Coach/c5319_jio1u_a0?$mobileProductZoom$
Tabby Shoulder Bag 20,"A modern take on an archival 1970s Coach design, our structured 
Tabby shoulder bag is crafted of polished pebble leather. Finished 
with our Signature hardware for an iconic touch, the compact 26 features 
two detachable straps to carry by hand, style as a short shoulder bag 
or wear crossbody.",Male,450,https://coach.scene7.com/is/image/Coach/ch857_b4bk_a0?$mobileProductTile$
Tabby Shoulder Bag 26,"A modern take on an archival 1970s Coach design, 
our structured Tabby shoulder bag is crafted of polished 
pebble leather. Finished with our tonal leather covered Signature
 hardware for an iconic touch, the compact 26 features two detachable
 straps to carry by hand, style as a short shoulder bag or wear crossbody.",Male,500,"https://coach.scene7.com/is/image/Coach/ch735_b4mx_a0?$mobileProductV3$"""
Gotham Convertible Brief,"A bag as distinct as its namesake city, the Gotham is a sleek,
 streamlined style that means business. Ready for your every need, 
this convertible brief is a versatile hybrid design that easily converts 
into a backpack with the stow-away, adjustable straps. Crafted of pebble
 leather and refined leather, it has a spacious interior with multifunction
 pockets for easy organization, space for a 13"" laptop and a convenient 
outside slip pocket for access to essentials.",Male,650,https://coach.scene7.com/is/image/Coach/cp165_blk_a0?$mobileProductV3$
Gotham Convertible Brief In Signature Canvas,"A bag as distinct as its namesake city, the Gotham is a sleek, 
streamlined style that means business. Ready for your every need,
this convertible brief is a versatile hybrid design that easily converts 
into a backpack with the stow-away, adjustable straps. Crafted of our 
Signature canvas and refined leather, it has a spacious interior with
 multifunction pockets for easy organization, space for a 13"" laptop 
and a convenient outside slip pocket for access to essentials",Male,595,https://coach.scene7.com/is/image/Coach/cp166_chr_a0?$mobileProductV3$
Carter Carryall In Signature Canvas,"Perfectly put-together, our minimalist Carter Carryall
 effortlessly takes you from work to weekend. Featuring
 three organized compartments, multifunction pockets and
 space for a 12” laptop, this Signature canvas and refined 
leather design is finished with a detachable crossbody strap 
and our C dangle charm. Big on space (and big on style, too)",Male,850,https://coach.scene7.com/is/image/Coach/ci029_b4nq4_a0?$mobileProductZoom$
Carter Carryall 28,"Perfectly put-together, our minimalist Carter Carryall effortlessly 
takes you from work to weekend. Featuring three organized 
compartments, multifunction pockets and space for a 10"" laptop, 
this polished pebble leather 28 is finished with a detachable crossbody 
strap and our C dangle charm. Big on space (and big on style, too)",Male,350,https://coach.scene7.com/is/image/Coach/cj806_b4bk_a0?$mobileProductV3$
C201 Low Top Sneaker In Signature Canvas,"Inspired by traditional court shoes,
 our C201 sneaker is crafted in a mix of Signature
 canvas and smooth leather. The versatile low-top 
features a grooved sole for great traction.",Male,350,https://coach.scene7.com/is/image/Coach/ci217_opi_a0?$mobileProductV3$
Runner Sneaker,"A cool, classic sneaker style for on-the-run days,
 this elevated running shoe is crafted in a mix of 
suede and sporty nylon detailed with a plush knotted
 suede Signature and back heel. It’s finished with a 
lightweight EVA sole for all-day comfort and ease",Male,350,https://coach.scene7.com/is/image/Coach/cp771_wj3_a0?$mobileProductV3$
Lowline Luxe Low Top Sneaker,"Built for the urban obstacle course, our lightweight Lowline 
is made with proprietary Coach CitySole technology for maximum
 comfort and flexibility. An updated take on a classic style, this minimalist
 low-top sits at the intersection of fashion and function. Crafted of our
 Signature canvas with smooth leather details, it features a comfortable
 cushioned insole and a TPU heel counter for added support and stability.
 Your feet will thank you.",Male,350,https://coach.scene7.com/is/image/Coach/g5061_tn2_a0?$mobileProductV3$
Runner Sneaker,"A cool, classic sneaker style for on-the-run days, 
this elevated running shoe is crafted in a mix of suede
 and leather detailed with our Signature. It’s finished with
 a comfortable EVA sole for all-day comfort and ease.",Male,350,https://coach.scene7.com/is/image/Coach/cr965_em7_a0?$mobileProductV3$